Depth	Signal	EC.Value	HP.PresDown	color
0.25	0.958	10.22	2.55	#6B8E23
0.5	0.761	9.08	2.47	#6B8E23
0.75	0.512	10.19	2.77	#6B8E23
1	0.06	9	2.57	#B0B0B0
1.25	0.163	10.02	2.73	#B0B0B0
1.5	0.146	9.89	2.91	#B0B0B0
1.75	0.039	10.21	2.76	#B0B0B0
2	0.152	10.25	2.97	#B0B0B0
2.25	0.057	9.32	2.95	#B0B0B0
2.5	0.425	10.66	3.03	#B0B0B0
2.75	0.135	10.4	2.79	#B0B0B0
3	0.032	10.23	3.23	#B0B0B0
3.25	0.113	9.62	2.68	#B0B0B0
3.5	0.076	10	2.89	#B0B0B0
3.75	0.15	10.48	2.96	#B0B0B0
4	0.061	10.16	2.94	#B0B0B0
4.25	0.066	9.86	2.99	#B0B0B0
4.5	0.098	10.37	3.34	#B0B0B0
4.75	0.204	9.69	3.19	#B0B0B0
5	0.107	9.99	3.06	#B0B0B0
5.25	0.059	10.51	2.97	#B0B0B0
5.5	0.102	9.5	2.94	#B0B0B0
5.75	0.132	8.78	3.25	#B0B0B0
6	0.33	8.51	2.82	#B0B0B0
6.25	0.138	9.38	3.27	#B0B0B0
6.5	0.142	8.28	3.27	#B0B0B0
6.75	0.155	8.88	3.27	#B0B0B0
7	0.46	9.08	3.01	#B0B0B0
7.25	0.12	7.54	2.9	#B0B0B0
7.5	0.191	7.19	2.81	#B0B0B0
7.75	0.323	5.81	2.49	#B0B0B0
8	0.432	5.08	2.36	#B0B0B0
8.25	0.464	5.46	2.16	#B0B0B0
8.5	0.578	4.97	2.33	#6B8E23
8.75	0.399	4.42	2.25	#B0B0B0
9	0.689	5.13	2.54	#6B8E23
9.25	0.672	5.91	2.63	#6B8E23
9.5	0.737	6.3	3.31	#6B8E23
9.75	1.839	7.6	3.54	#6B8E23
10	1.688	8.39	4.09	#6B8E23
10.25	1.352	7.68	4.2	#6B8E23
10.5	2.366	8.01	4.08	#6B8E23
10.75	2.142	8.01	4.41	#6B8E23
11	2.885	7.74	4.22	#6B8E23
11.25	3.043	8.09	4.42	#D4C84A
11.5	3.07	8.75	4.29	#D4C84A
11.75	4.435	10.09	4.68	#D4C84A
12	7.707	10.54	4.79	#D4C84A
12.25	5.72	9.16	4.52	#D4C84A
12.5	7.812	10.26	4.88	#D4C84A
12.75	10.511	11.18	4.88	#D4C84A
13	12.544	10.71	5.07	#E07B30
13.25	9.821	10.26	4.86	#D4C84A
13.5	17.059	12.05	5.15	#E07B30
13.75	12.377	10.82	4.91	#E07B30
14	11.67	9.71	4.62	#D4C84A
14.25	7.589	9.57	4.37	#D4C84A
14.5	15.493	9.7	4.51	#E07B30
14.75	18.145	8.99	3.96	#E07B30
15	18.237	9.52	4.03	#E07B30
15.25	19.417	10.23	4.22	#E07B30
15.5	15.672	10.05	4.58	#E07B30
15.75	15.035	10.75	5.17	#E07B30
16	14.552	11.56	5.65	#E07B30
16.25	14.275	10.85	6.06	#E07B30
16.5	14.477	13.09	6.68	#E07B30
16.75	10.942	11.91	6.86	#D4C84A
17	12.855	12.32	6.87	#E07B30
17.25	9.331	11.54	7	#D4C84A
17.5	14.278	13.25	7.11	#E07B30
17.75	5.053	10.69	7.65	#D4C84A
18	11.008	12.82	7.54	#D4C84A
18.25	10.402	11.8	7.7	#D4C84A
18.5	12.244	13.05	8.1	#E07B30
18.75	9.072	11.96	8.08	#D4C84A
19	8.176	11.53	8.1	#D4C84A
19.25	8.462	11.54	8.31	#D4C84A
19.5	6.475	11.27	8.35	#D4C84A
19.75	5.815	10.84	8.52	#D4C84A
20	5.799	10.48	8.43	#D4C84A
20.25	7.55	10.51	8.54	#D4C84A
20.5	4.267	8.71	8.11	#D4C84A
20.75	3.426	7.64	8.08	#D4C84A
21	4.416	7.31	7.91	#D4C84A
21.25	3.65	6.1	7.66	#D4C84A
