Depth	Signal	EC.Value	HP.PresDown	color
0.25	1.45	10.01	2.7	#6B8E23
0.5	1.376	8.66	2.7	#6B8E23
0.75	1.826	10.23	2.73	#6B8E23
1	0.095	8.49	2.57	#B0B0B0
1.25	0.18	10	2.88	#B0B0B0
1.5	0.125	9.32	2.77	#B0B0B0
1.75	0.086	10.48	3.17	#B0B0B0
2	0.058	10.34	2.84	#B0B0B0
2.25	0.226	9.77	2.81	#B0B0B0
2.5	0.071	9.19	2.8	#B0B0B0
2.75	0.031	9.87	3.19	#B0B0B0
3	0.279	10.68	3.06	#B0B0B0
3.25	0.122	9.89	3.15	#B0B0B0
3.5	0.081	9.83	3.23	#B0B0B0
3.75	0.092	9.54	2.79	#B0B0B0
4	0.119	10.42	3.27	#B0B0B0
4.25	0.009	9.07	3.04	#B0B0B0
4.5	0.239	10.01	2.97	#B0B0B0
4.75	0.097	10.46	3.09	#B0B0B0
5	0.127	10.79	3.17	#B0B0B0
5.25	0.207	11.29	3.1	#B0B0B0
5.5	0.198	9.67	2.95	#B0B0B0
5.75	0.137	9.84	3.07	#B0B0B0
6	0.237	8.43	3.05	#B0B0B0
6.25	0.095	9.16	3.13	#B0B0B0
6.5	0.274	8.61	3.25	#B0B0B0
6.75	0.19	8.79	3	#B0B0B0
7	0.611	8.01	2.84	#6B8E23
7.25	0.505	7.96	2.74	#6B8E23
7.5	0.357	6.08	2.15	#B0B0B0
7.75	0.525	6.67	2.42	#6B8E23
8	0.744	5.6	2.16	#6B8E23
8.25	1.594	6.27	2.07	#6B8E23
8.5	1.381	4.92	2.02	#6B8E23
8.75	1.704	5.23	2.48	#6B8E23
9	2.115	6.19	2.66	#6B8E23
9.25	2.433	6.64	3.48	#6B8E23
9.5	3.693	7.39	3.38	#D4C84A
9.75	3.567	8.48	3.67	#D4C84A
10	4.83	9.08	3.89	#D4C84A
10.25	5.445	7.7	4	#D4C84A
10.5	8.456	9.19	4.3	#D4C84A
10.75	5.407	9.73	4.12	#D4C84A
11	9.819	9.74	4.57	#D4C84A
11.25	11.102	10.88	4.59	#D4C84A
11.5	10.72	10.26	4.78	#D4C84A
11.75	15.168	11.6	4.62	#E07B30
12	19.651	12.06	4.68	#E07B30
12.25	15.685	11.57	4.51	#E07B30
12.5	35.8	13.32	4.95	#C03020
12.75	18.246	12.09	4.74	#E07B30
13	18.194	12.13	4.62	#E07B30
13.25	22.951	12.18	4.55	#E07B30
13.5	32.174	11.65	4.65	#E07B30
13.75	44.502	10.68	4.27	#C03020
14	36.859	11.22	4.02	#C03020
14.25	28.31	9.84	3.87	#E07B30
14.5	39.429	10.08	4.16	#C03020
14.75	41.208	9.82	3.95	#C03020
15	46.755	10.23	4.35	#C03020
15.25	34.224	10.47	4.39	#E07B30
15.5	26.133	11.03	5.14	#E07B30
15.75	43.958	12.57	5.69	#C03020
16	49.217	13.3	5.87	#C03020
16.25	36.234	13.62	6.18	#C03020
16.5	37.516	14.42	6.86	#C03020
16.75	22.441	14.12	6.72	#E07B30
17	28.138	14.13	6.77	#E07B30
17.25	43.324	13.54	6.94	#C03020
17.5	28.695	14.78	7.38	#E07B30
17.75	21.72	14.64	7.21	#E07B30
18	23.224	14.52	7.67	#E07B30
18.25	20.274	14.35	7.7	#E07B30
18.5	28.773	14.02	7.89	#E07B30
18.75	32.494	13.4	8.23	#E07B30
19	29.412	13.63	8.34	#E07B30
19.25	17.033	12.91	8.33	#E07B30
19.5	23.934	13.55	8.28	#E07B30
19.75	12.328	11.12	8.38	#E07B30
20	22.095	12.19	8.54	#E07B30
20.25	13.317	10.39	7.76	#E07B30
20.5	7.56	7.84	8.19	#D4C84A
20.75	9.692	8.51	7.65	#D4C84A
21	13.467	8.46	7.58	#E07B30
21.25	10.338	6.81	8.15	#D4C84A
21.5	6.135	6.66	8.05	#D4C84A
21.75	9.353	7.56	8.59	#D4C84A
22	3.159	7.06	8.82	#D4C84A
22.25	4.354	7.67	9.72	#D4C84A
22.5	3.104	7.65	9.76	#D4C84A
22.75	1.825	7.42	10.34	#6B8E23
23	2.36	7.63	10.29	#6B8E23
23.25	2.218	8.51	10.48	#6B8E23
23.5	1.071	8.8	10.61	#6B8E23
23.75	0.92	8.84	10.58	#6B8E23
24	0.981	7.66	11.07	#6B8E23
24.25	0.548	7.57	10.93	#6B8E23
24.5	0.667	7.65	11.07	#6B8E23
24.75	0.386	7.7	11.1	#B0B0B0
25	0.144	7.38	11.28	#B0B0B0
25.25	0.186	8.27	11.38	#B0B0B0
25.5	0.196	8.93	11.66	#B0B0B0
25.75	0.056	8.25	11.37	#B0B0B0
26	0.045	8.75	11.57	#B0B0B0
26.25	0.168	8.48	11.54	#B0B0B0
26.5	0.149	8.21	11.65	#B0B0B0
26.75	0.035	8.87	12.04	#B0B0B0
27	0.018	8.87	11.99	#B0B0B0
27.25	0.082	9.05	12.07	#B0B0B0
27.5	0.057	8.97	11.73	#B0B0B0
27.75	0.048	9.99	12.08	#B0B0B0
28	0.063	8.59	12.26	#B0B0B0
28.25	0.318	9.72	12.27	#B0B0B0
28.5	0.02	9.72	12.25	#B0B0B0
28.75	0.14	9.99	12.15	#B0B0B0
29	0.094	9.99	12.45	#B0B0B0
