Depth	Signal	EC.Value	HP.PresDown	color
0.25	1.504	9.06	2.51	#6B8E23
0.5	2.956	9.74	2.34	#6B8E23
0.75	0.854	9.88	2.6	#6B8E23
1	0.046	9.97	2.68	#B0B0B0
1.25	0.015	9.41	2.91	#B0B0B0
1.5	0.24	9.95	2.73	#B0B0B0
1.75	0.099	9.14	2.72	#B0B0B0
2	0.059	10.76	2.9	#B0B0B0
2.25	0.11	10.05	3.12	#B0B0B0
2.5	0.04	10.32	2.86	#B0B0B0
2.75	0.111	10.71	2.79	#B0B0B0
3	0.033	9.92	2.91	#B0B0B0
3.25	0.075	11.11	2.81	#B0B0B0
3.5	0.076	10.56	3.03	#B0B0B0
3.75	0.073	9.86	3.07	#B0B0B0
4	0.009	9.71	2.85	#B0B0B0
4.25	0.04	10.25	3.22	#B0B0B0
4.5	0.076	9.65	2.78	#B0B0B0
4.75	0.014	9.55	2.96	#B0B0B0
5	0.093	9.38	3.09	#B0B0B0
5.25	0.086	10.28	3.4	#B0B0B0
5.5	0.191	9.43	2.95	#B0B0B0
5.75	0.031	10.07	3.3	#B0B0B0
6	0.067	9.74	2.95	#B0B0B0
6.25	0.218	9.5	2.89	#B0B0B0
6.5	0.161	9.84	3.46	#B0B0B0
6.75	0.129	9.03	3.25	#B0B0B0
7	0.075	8.72	3.5	#B0B0B0
7.25	0.064	8.77	3.22	#B0B0B0
7.5	0.115	7.8	3.4	#B0B0B0
7.75	0.075	8.4	3.25	#B0B0B0
8	0.118	6.95	3.2	#B0B0B0
8.25	0.212	6.71	2.46	#B0B0B0
8.5	0.047	5.52	2.66	#B0B0B0
8.75	0.235	5.2	2.11	#B0B0B0
9	0.111	3.91	2.36	#B0B0B0
9.25	0.318	4.93	2.21	#B0B0B0
9.5	0.248	4.98	2.31	#B0B0B0
9.75	0.056	5.31	2.62	#B0B0B0
10	0.023	6.12	2.74	#B0B0B0
10.25	0.292	6.64	3.37	#B0B0B0
10.5	0.12	7.11	3.75	#B0B0B0
10.75	0.166	7.06	4.07	#B0B0B0
11	0.111	7.54	4.22	#B0B0B0
11.25	0.152	7.55	4.6	#B0B0B0
11.5	0.09	6.83	4.22	#B0B0B0
11.75	0.223	8.29	4.66	#B0B0B0
12	0.09	7.85	4.46	#B0B0B0
12.25	0.148	8.8	4.83	#B0B0B0
12.5	0.211	8.26	4.76	#B0B0B0
12.75	0.168	8.38	5.16	#B0B0B0
13	0.536	8.52	4.98	#6B8E23
13.25	0.169	8.82	4.92	#B0B0B0
13.5	0.196	9.3	5.02	#B0B0B0
13.75	0.25	8.35	5.29	#B0B0B0
14	0.333	7.54	5.16	#B0B0B0
14.25	0.418	8.11	5.27	#B0B0B0
14.5	0.432	8.34	5.02	#B0B0B0
14.75	0.578	7.24	4.81	#6B8E23
15	0.175	6.92	4.69	#B0B0B0
15.25	0.32	6.93	4.64	#B0B0B0
15.5	0.251	6.1	4.49	#B0B0B0
15.75	0.359	6.51	4.28	#B0B0B0
16	0.162	6.17	4.6	#B0B0B0
16.25	0.537	7.58	5.13	#6B8E23
16.5	0.354	8.83	5.67	#B0B0B0
16.75	0.251	9.31	6.14	#B0B0B0
17	0.459	9.69	6.43	#B0B0B0
17.25	0.22	9.87	6.66	#B0B0B0
17.5	0.4	10.26	6.83	#B0B0B0
17.75	0.32	10.75	7.24	#B0B0B0
18	0.218	10.59	7.65	#B0B0B0
18.25	0.165	10.08	7.51	#B0B0B0
18.5	0.327	10.42	7.76	#B0B0B0
18.75	0.403	10.04	8.06	#B0B0B0
19	0.162	9.23	7.98	#B0B0B0
19.25	0.122	8.8	8.35	#B0B0B0
19.5	0.274	9.61	8.19	#B0B0B0
19.75	0.39	8.43	8.15	#B0B0B0
20	0.313	8.27	8.79	#B0B0B0
20.25	0.134	8.34	9.02	#B0B0B0
20.5	0.067	8.73	8.86	#B0B0B0
20.75	0.193	9.34	8.63	#B0B0B0
21	0.11	7.5	8.59	#B0B0B0
21.25	0.06	6.15	9.01	#B0B0B0
21.5	0.032	5.42	8.33	#B0B0B0
21.75	0.151	5.43	8.54	#B0B0B0
22	0.179	4.97	8.15	#B0B0B0
22.25	0.221	4.24	8.14	#B0B0B0
22.5	0.159	5.43	8.75	#B0B0B0
22.75	0.156	4.55	8.8	#B0B0B0
23	0.039	5.84	9.25	#B0B0B0
23.25	0.196	6.59	9.9	#B0B0B0
23.5	0.154	6.85	10.09	#B0B0B0
23.75	0.115	7.37	10.66	#B0B0B0
24	0.215	7.98	10.82	#B0B0B0
24.25	0.13	8.34	11.04	#B0B0B0
24.5	0.158	7.43	11.04	#B0B0B0
24.75	0.237	7.29	11.22	#B0B0B0
25	0.076	7.71	11.5	#B0B0B0
25.25	0.126	7.35	11.38	#B0B0B0
25.5	0.163	8.03	11.37	#B0B0B0
25.75	0.046	8.68	11.51	#B0B0B0
