Depth	Signal	EC.Value	HP.PresDown	color
0.25	1.803	9.86	2.57	#6B8E23
0.5	0.219	9.54	2.7	#B0B0B0
0.75	0.651	10.16	2.53	#6B8E23
1	0.323	9.36	2.51	#B0B0B0
1.25	0.17	9.83	2.76	#B0B0B0
1.5	0.018	9.44	2.72	#B0B0B0
1.75	0.074	10.1	2.68	#B0B0B0
2	0.04	10.19	2.87	#B0B0B0
2.25	0.122	9.41	2.79	#B0B0B0
2.5	0.111	10.15	2.85	#B0B0B0
2.75	0.279	9.53	3.08	#B0B0B0
3	0.198	10.09	3.31	#B0B0B0
3.25	0.033	9.82	3.1	#B0B0B0
3.5	0.254	10.42	3.29	#B0B0B0
3.75	0.302	10.49	3.24	#B0B0B0
4	0.018	9.86	3	#B0B0B0
4.25	0.009	10.48	3.09	#B0B0B0
4.5	0.084	9.4	3.28	#B0B0B0
4.75	0.079	10.21	3.07	#B0B0B0
5	0.151	10.69	3.12	#B0B0B0
5.25	0.345	9.72	2.82	#B0B0B0
5.5	0.097	10.07	2.95	#B0B0B0
5.75	0.247	9.01	2.95	#B0B0B0
6	0.369	9.95	2.99	#B0B0B0
6.25	0.155	8.53	3	#B0B0B0
6.5	0.139	8.89	2.96	#B0B0B0
6.75	0.527	8.08	2.93	#6B8E23
7	0.68	7.1	2.74	#6B8E23
7.25	0.887	7.62	2.52	#6B8E23
7.5	0.711	6.23	2.08	#6B8E23
7.75	0.93	5.75	2.08	#6B8E23
8	1.168	4.27	1.94	#6B8E23
8.25	1.533	5.48	2.04	#6B8E23
8.5	1.744	7.04	2.17	#6B8E23
8.75	1.533	5.99	2.38	#6B8E23
9	2.521	6.1	3.05	#6B8E23
9.25	3.401	6.67	3.12	#D4C84A
9.5	4.175	8.66	3.91	#D4C84A
9.75	5.121	8.77	4.09	#D4C84A
10	5.737	8.19	4.25	#D4C84A
10.25	7.387	8.71	3.96	#D4C84A
10.5	7.114	9.03	4.17	#D4C84A
10.75	8.009	10.11	4.27	#D4C84A
11	11.799	9.57	4.2	#D4C84A
11.25	9.688	9.86	4.13	#D4C84A
11.5	16.041	10.98	4.12	#E07B30
11.75	17.029	10.87	4.6	#E07B30
12	16.986	12.21	4.98	#E07B30
12.25	22.604	11.33	4.65	#E07B30
12.5	19.079	11.75	4.76	#E07B30
12.75	32.705	12.58	4.82	#E07B30
13	26.912	12.03	4.85	#E07B30
13.25	28.51	10.99	4.62	#E07B30
13.5	39.783	10.98	4.86	#C03020
13.75	32.144	11.36	4.12	#E07B30
14	45.04	10.59	4.1	#C03020
14.25	45.594	10.39	3.89	#C03020
14.5	37.478	10.81	3.94	#C03020
14.75	51.986	10.53	3.91	#C03020
15	34.468	9.89	4.28	#E07B30
15.25	39.935	11.17	4.81	#C03020
15.5	39.535	11.74	5.2	#C03020
15.75	47.9	11.93	5.43	#C03020
16	48.211	13.19	5.77	#C03020
16.25	41.35	13.78	6.2	#C03020
16.5	44.76	13.61	6.77	#C03020
16.75	82.625	13.88	6.73	#7B0010
17	33.982	14.06	6.81	#E07B30
17.25	28.521	14.64	7.13	#E07B30
17.5	32.495	14.5	7.24	#E07B30
17.75	24.914	15.46	7.46	#E07B30
18	45.845	13.44	7.7	#C03020
18.25	19.343	14.29	7.85	#E07B30
18.5	28.672	14.81	8.1	#E07B30
18.75	23.015	14.14	7.67	#E07B30
19	22.808	13.94	7.94	#E07B30
19.25	13.835	12.85	8.27	#E07B30
19.5	21.328	13.74	8.13	#E07B30
19.75	16.717	11.78	8.28	#E07B30
20	13.044	10.84	8.19	#E07B30
20.25	13.292	9.99	7.87	#E07B30
20.5	11.33	8.78	7.75	#D4C84A
20.75	18.367	9.16	7.41	#E07B30
21	7.939	6.94	7.41	#D4C84A
21.25	9.886	7.91	7.64	#D4C84A
21.5	6.651	7.1	8.06	#D4C84A
21.75	7.713	7.17	8.47	#D4C84A
22	5.89	7.8	9.18	#D4C84A
22.25	2.343	7.89	9.39	#6B8E23
22.5	3.885	8.23	9.86	#D4C84A
22.75	2.23	8.18	10.24	#6B8E23
23	1.304	8.15	10.75	#6B8E23
23.25	1.493	7.93	10.57	#6B8E23
23.5	1.017	7.89	10.87	#6B8E23
23.75	0.849	8.19	10.94	#6B8E23
24	0.938	7.97	10.7	#6B8E23
24.25	0.646	8.01	10.75	#6B8E23
24.5	0.574	6.85	11	#6B8E23
24.75	0.205	8.12	11.01	#B0B0B0
25	0.239	7.67	11.22	#B0B0B0
25.25	0.277	7.6	11.59	#B0B0B0
25.5	0.197	7.3	11.56	#B0B0B0
25.75	0.341	8.8	11.39	#B0B0B0
26	0.163	8.28	11.22	#B0B0B0
26.25	0.057	7.5	11.74	#B0B0B0
26.5	0.265	8.68	11.7	#B0B0B0
26.75	0.102	8.85	11.33	#B0B0B0
27	0.043	8.7	11.97	#B0B0B0
27.25	0.048	9.02	11.94	#B0B0B0
27.5	0.058	7.42	11.97	#B0B0B0
