Depth	Signal	EC.Value	HP.PresDown	color
0.25	1.445	8.73	2.6	#6B8E23
0.5	1.453	9.88	2.53	#6B8E23
0.75	3.361	10.08	2.54	#D4C84A
1	0.086	10.69	2.84	#B0B0B0
1.25	0.104	9.04	2.7	#B0B0B0
1.5	0.094	9.19	2.86	#B0B0B0
1.75	0.051	10.49	2.66	#B0B0B0
2	0.354	10	2.69	#B0B0B0
2.25	0.149	10.21	2.97	#B0B0B0
2.5	0.064	10.83	2.99	#B0B0B0
2.75	0.15	10.98	3.23	#B0B0B0
3	0.126	9.96	3.11	#B0B0B0
3.25	0.297	10.93	2.95	#B0B0B0
3.5	0.097	10.86	3.18	#B0B0B0
3.75	0.045	10.04	2.84	#B0B0B0
4	0.009	9.46	3.08	#B0B0B0
4.25	0.071	9.94	2.93	#B0B0B0
4.5	0.1	10.79	3.21	#B0B0B0
4.75	0.049	9.66	3.21	#B0B0B0
5	0.12	10.66	3.17	#B0B0B0
5.25	0.098	10.28	3.06	#B0B0B0
5.5	0.05	10.62	2.96	#B0B0B0
5.75	0.12	8.23	3.03	#B0B0B0
6	0.062	9.36	2.89	#B0B0B0
6.25	0.293	9.52	3.14	#B0B0B0
6.5	0.244	8.83	3.2	#B0B0B0
6.75	0.259	8.22	3.46	#B0B0B0
7	0.279	10.07	3.44	#B0B0B0
7.25	0.06	7.58	3.17	#B0B0B0
7.5	0.103	7.7	3.33	#B0B0B0
7.75	0.324	7.58	2.89	#B0B0B0
8	0.075	6.48	2.63	#B0B0B0
8.25	0.249	4.59	2.41	#B0B0B0
8.5	0.255	3.91	2.23	#B0B0B0
8.75	0.244	5.39	1.92	#B0B0B0
9	0.178	4.67	2.13	#B0B0B0
9.25	0.347	5.34	2.45	#B0B0B0
9.5	0.284	5.87	2.87	#B0B0B0
9.75	0.374	6.24	3.16	#B0B0B0
10	0.434	6.84	3.75	#B0B0B0
10.25	0.731	7	3.77	#6B8E23
10.5	0.646	7.25	3.96	#6B8E23
10.75	0.895	7.53	4.09	#6B8E23
11	0.567	7.91	4.31	#6B8E23
11.25	0.612	7.79	4.43	#6B8E23
11.5	1.331	8.56	4.6	#6B8E23
11.75	2.459	8.65	4.94	#6B8E23
12	1.457	8.47	4.62	#6B8E23
12.25	1.38	8.4	4.64	#6B8E23
12.5	1.634	9.43	4.97	#6B8E23
12.75	2.068	7.57	4.84	#6B8E23
13	1.718	8.19	4.96	#6B8E23
13.25	1.64	8.66	4.89	#6B8E23
13.5	2.05	9.44	5.06	#6B8E23
13.75	2.959	8.82	4.92	#6B8E23
14	3.48	8.28	4.82	#D4C84A
14.25	3.551	8.61	4.7	#D4C84A
14.5	3.292	7.96	4.43	#D4C84A
14.75	5.334	8.85	4.18	#D4C84A
15	3.961	7.29	4.37	#D4C84A
15.25	4.455	7.29	4.32	#D4C84A
15.5	3.56	7.59	4.24	#D4C84A
15.75	2.583	7.11	4.98	#6B8E23
16	5.227	8.81	5.14	#D4C84A
16.25	2.769	8.93	5.67	#6B8E23
16.5	2.023	9.52	6.09	#6B8E23
16.75	4.521	10.56	6.14	#D4C84A
17	2.604	10.46	6.64	#6B8E23
17.25	4.251	11.07	7.02	#D4C84A
17.5	3.978	10.21	7.44	#D4C84A
17.75	2.829	10.99	7.16	#6B8E23
18	3.891	10.35	7.52	#D4C84A
18.25	4.002	11.05	7.71	#D4C84A
