Depth	Signal	EC.Value	HP.PresDown	color
0.25	1.45	9.12	2.21	#6B8E23
0.5	0.122	9.6	2.57	#B0B0B0
0.75	0.904	9.1	2.61	#6B8E23
1	0.135	9.63	2.87	#B0B0B0
1.25	0.007	9.03	2.9	#B0B0B0
1.5	0.009	9.15	2.92	#B0B0B0
1.75	0.158	9.92	2.54	#B0B0B0
2	0.106	9.88	3.13	#B0B0B0
2.25	0.046	9.71	2.91	#B0B0B0
2.5	0.05	9.45	3.06	#B0B0B0
2.75	0.085	11.09	3.13	#B0B0B0
3	0.069	10.15	3.18	#B0B0B0
3.25	0.098	10.2	3.28	#B0B0B0
3.5	0.076	9.42	3.15	#B0B0B0
3.75	0.208	10.25	2.84	#B0B0B0
4	0.026	10.17	3.28	#B0B0B0
4.25	0.136	10.44	3.24	#B0B0B0
4.5	0.35	10.91	3.23	#B0B0B0
4.75	0.191	10.41	3.07	#B0B0B0
5	0.186	9.76	3.3	#B0B0B0
5.25	0.101	10.27	3.03	#B0B0B0
5.5	0.115	9.83	3.13	#B0B0B0
5.75	0.048	9.91	3.06	#B0B0B0
6	0.024	9.35	3.18	#B0B0B0
6.25	0.1	8.28	3.28	#B0B0B0
6.5	0.07	9.2	3.22	#B0B0B0
6.75	0.124	9.48	3.17	#B0B0B0
7	0.127	8.7	3.3	#B0B0B0
7.25	0.347	8.85	3.27	#B0B0B0
7.5	0.168	7.93	3.18	#B0B0B0
7.75	0.192	7.81	2.89	#B0B0B0
8	0.457	6.71	2.54	#B0B0B0
8.25	0.213	5.38	2.28	#B0B0B0
8.5	0.516	4.5	1.89	#6B8E23
8.75	0.418	4.78	2.07	#B0B0B0
9	0.552	4.95	2.26	#6B8E23
9.25	0.572	5.25	2.28	#6B8E23
9.5	0.875	6.09	3.14	#6B8E23
9.75	1.291	6.34	3.07	#6B8E23
10	1.338	7.33	3.67	#6B8E23
10.25	1.356	7.95	3.67	#6B8E23
10.5	3.721	8.26	4.4	#D4C84A
10.75	3.472	9.19	4.27	#D4C84A
11	3.262	7.98	4.61	#D4C84A
11.25	3.881	9.13	4.59	#D4C84A
11.5	2.725	8	4.33	#6B8E23
11.75	5.077	9.96	4.56	#D4C84A
12	7.379	9.37	4.33	#D4C84A
12.25	5.703	9.5	4.85	#D4C84A
12.5	9.045	10.86	4.9	#D4C84A
12.75	6.374	9.65	4.72	#D4C84A
13	9.79	9.86	4.98	#D4C84A
13.25	9.139	9.75	4.9	#D4C84A
13.5	11.212	10.64	4.98	#D4C84A
13.75	10.21	11.12	5.1	#D4C84A
14	18.173	13.48	4.95	#E07B30
14.25	19.976	11.8	4.95	#E07B30
14.5	15.225	10.45	4.42	#E07B30
14.75	17.054	10.82	4.44	#E07B30
15	13.592	9.25	4.34	#E07B30
15.25	20.237	10.32	4.03	#E07B30
15.5	11.377	7.98	4.32	#D4C84A
15.75	20.218	11.07	4.45	#E07B30
16	14.776	10.21	4.91	#E07B30
16.25	19.271	11.97	5.35	#E07B30
16.5	14.134	11.61	6.04	#E07B30
16.75	15.881	12.92	6.45	#E07B30
17	21.045	14.46	6.5	#E07B30
17.25	9.431	12.22	6.77	#D4C84A
17.5	9.187	12.36	7.25	#D4C84A
17.75	11.198	12.88	7.44	#D4C84A
18	12.555	11.9	7.76	#E07B30
18.25	10.786	13.21	7.54	#D4C84A
18.5	8.16	11.14	7.93	#D4C84A
18.75	9.608	11.49	8.06	#D4C84A
19	6.915	11.33	8.33	#D4C84A
19.25	5.48	11.07	8.43	#D4C84A
19.5	7.99	10.75	8.27	#D4C84A
19.75	5.974	10.44	8.46	#D4C84A
20	3.492	9.54	8.47	#D4C84A
20.25	3.571	9.59	8.39	#D4C84A
20.5	4.639	8.26	8.58	#D4C84A
20.75	2.675	8.12	8.63	#6B8E23
21	3.342	6.83	8.11	#D4C84A
21.25	2.414	6.31	8.42	#6B8E23
21.5	1.442	5.75	7.95	#6B8E23
21.75	1.392	5.11	7.92	#6B8E23
22	1.327	5.29	8.37	#6B8E23
22.25	1.188	5.22	8.39	#6B8E23
22.5	0.812	5.27	8.7	#6B8E23
22.75	0.51	6.84	9.42	#6B8E23
23	0.54	6.74	9.81	#6B8E23
23.25	0.559	8.31	10.3	#6B8E23
23.5	0.316	7.33	10.27	#B0B0B0
23.75	0.521	7.93	10.32	#6B8E23
24	0.3	8.07	10.93	#B0B0B0
24.25	0.191	7.62	10.91	#B0B0B0
24.5	0.137	8.57	11.13	#B0B0B0
24.75	0.137	8.43	11.01	#B0B0B0
25	0.193	7.8	10.84	#B0B0B0
25.25	0.134	8.59	11.48	#B0B0B0
25.5	0.056	7.3	11.24	#B0B0B0
25.75	0.051	8.96	11.48	#B0B0B0
26	0.176	8.22	11.55	#B0B0B0
26.25	0.074	8.6	11.68	#B0B0B0
26.5	0.059	7.73	11.72	#B0B0B0
26.75	0.136	8.87	11.93	#B0B0B0
27	0.064	8.81	11.74	#B0B0B0
27.25	0.083	9.13	11.55	#B0B0B0
