Depth	Signal	EC.Value	HP.PresDown	color
0.25	0.57	9.27	2.87	#6B8E23
0.5	2.966	8.98	2.67	#6B8E23
0.75	3.006	10.63	2.77	#D4C84A
1	0.186	8.85	2.47	#B0B0B0
1.25	0.007	9.52	2.84	#B0B0B0
1.5	0.196	9.03	2.71	#B0B0B0
1.75	0.125	10.44	2.97	#B0B0B0
2	0.116	9.83	2.79	#B0B0B0
2.25	0.259	9.12	3.01	#B0B0B0
2.5	0.029	9.1	2.95	#B0B0B0
2.75	0.131	9.47	2.98	#B0B0B0
3	0.073	10.89	2.92	#B0B0B0
3.25	0.115	9.69	2.8	#B0B0B0
3.5	0.071	10.14	3.01	#B0B0B0
3.75	0.044	10.62	3.13	#B0B0B0
4	0.064	11.02	3.12	#B0B0B0
4.25	0.016	9.92	3.09	#B0B0B0
4.5	0.16	9.88	3.19	#B0B0B0
4.75	0.105	9.46	3.25	#B0B0B0
5	0.109	10.45	3.02	#B0B0B0
5.25	0.187	9.32	2.96	#B0B0B0
5.5	0.262	10.33	3.01	#B0B0B0
5.75	0.189	10.45	3.11	#B0B0B0
6	0.148	9.46	3.04	#B0B0B0
6.25	0.051	9.47	3.17	#B0B0B0
6.5	0.158	8.73	2.81	#B0B0B0
6.75	0.319	8.41	3.09	#B0B0B0
7	0.072	8.45	2.89	#B0B0B0
7.25	0.085	7.29	2.42	#B0B0B0
7.5	0.086	6.42	2.56	#B0B0B0
7.75	0.102	5.67	1.92	#B0B0B0
8	0.018	3.83	1.87	#B0B0B0
8.25	0.047	4.19	2.02	#B0B0B0
8.5	0.113	4.98	2.15	#B0B0B0
8.75	0.265	5.11	2.31	#B0B0B0
9	0.295	5.44	2.74	#B0B0B0
9.25	0.255	6.91	2.95	#B0B0B0
9.5	0.36	6.21	3.45	#B0B0B0
9.75	0.248	7.72	3.75	#B0B0B0
10	0.192	7.47	4.09	#B0B0B0
10.25	0.295	7.2	3.92	#B0B0B0
10.5	0.33	7.83	4.22	#B0B0B0
10.75	0.485	8.01	4.4	#B0B0B0
11	0.301	8.18	4.57	#B0B0B0
11.25	0.378	7.83	4.62	#B0B0B0
11.5	0.421	7.26	4.47	#B0B0B0
11.75	0.35	7.72	4.7	#B0B0B0
12	0.5	8.68	4.63	#6B8E23
12.25	0.712	8.26	4.7	#6B8E23
12.5	0.605	8.84	4.89	#6B8E23
12.75	0.545	8.55	4.73	#6B8E23
13	0.662	7.66	4.8	#6B8E23
13.25	0.596	7.76	4.69	#6B8E23
13.5	0.851	8.45	4.68	#6B8E23
13.75	0.667	7.08	4.44	#6B8E23
14	1.414	6.72	4.4	#6B8E23
14.25	1.084	6.41	4.01	#6B8E23
14.5	1.237	6.67	3.84	#6B8E23
14.75	1.404	6.25	4.08	#6B8E23
15	1.329	6.68	4.29	#6B8E23
15.25	0.956	6.56	4.43	#6B8E23
15.5	1.581	7.66	4.76	#6B8E23
15.75	1.488	9.04	5.14	#6B8E23
16	1.33	10.49	5.62	#6B8E23
16.25	0.785	10.49	5.95	#6B8E23
16.5	1.25	10.16	6.54	#6B8E23
16.75	0.886	11.03	6.7	#6B8E23
17	0.704	10.14	6.79	#6B8E23
17.25	0.665	11.4	7.33	#6B8E23
17.5	0.77	10.55	7.18	#6B8E23
17.75	0.685	10.15	7.24	#6B8E23
18	0.524	10.04	7.54	#6B8E23
18.25	0.488	9.79	7.88	#B0B0B0
18.5	0.472	10.94	7.69	#B0B0B0
18.75	0.5	10.56	7.83	#6B8E23
19	0.353	9.69	8.19	#B0B0B0
19.25	0.413	9.16	8.08	#B0B0B0
19.5	0.246	9.73	8.22	#B0B0B0
19.75	0.362	9.9	8.47	#B0B0B0
20	0.245	8.31	8.33	#B0B0B0
20.25	0.143	8.55	8.59	#B0B0B0
20.5	0.222	6.49	8.06	#B0B0B0
20.75	0.149	6.25	7.82	#B0B0B0
21	0.266	5.82	7.64	#B0B0B0
21.25	0.227	6.06	7.68	#B0B0B0
21.5	0.121	5.93	8.01	#B0B0B0
21.75	0.401	5.73	8.59	#B0B0B0
22	0.082	6.07	8.92	#B0B0B0
22.25	0.155	7.03	9.42	#B0B0B0
22.5	0.112	6.42	9.65	#B0B0B0
22.75	0.096	7.95	9.96	#B0B0B0
23	0.06	7.59	10.48	#B0B0B0
23.25	0.17	9.19	10.3	#B0B0B0
23.5	0.087	6.93	10.66	#B0B0B0
23.75	0.1	7.25	10.66	#B0B0B0
24	0.079	7.62	10.74	#B0B0B0
24.25	0.012	8.52	10.94	#B0B0B0
24.5	0.165	8.28	11.22	#B0B0B0
24.75	0.221	7.35	11.03	#B0B0B0
25	0.159	7.96	11.43	#B0B0B0
25.25	0.087	7.57	11.42	#B0B0B0
