Depth	Signal	EC.Value	HP.PresDown	color
0.25	2.257	10.21	2.75	#6B8E23
0.5	2.047	9.29	2.55	#6B8E23
0.75	1.246	9.28	2.86	#6B8E23
1	0.124	10.19	2.9	#B0B0B0
1.25	0.073	9.38	2.65	#B0B0B0
1.5	0.053	9.78	2.77	#B0B0B0
1.75	0.31	9.4	2.63	#B0B0B0
2	0.278	9.78	2.83	#B0B0B0
2.25	0.066	10.11	2.71	#B0B0B0
2.5	0.168	10.78	2.87	#B0B0B0
2.75	0.3	10.38	2.81	#B0B0B0
3	0.085	10.13	3.06	#B0B0B0
3.25	0.219	9.98	2.72	#B0B0B0
3.5	0.009	9.73	3.11	#B0B0B0
3.75	0.168	10.8	3.12	#B0B0B0
4	0.12	9.54	3.15	#B0B0B0
4.25	0.193	10.45	3.16	#B0B0B0
4.5	0.029	10.15	3.1	#B0B0B0
4.75	0.271	9.66	3.29	#B0B0B0
5	0.16	10.4	2.96	#B0B0B0
5.25	0.168	9.52	3.01	#B0B0B0
5.5	0.405	9.47	2.98	#B0B0B0
5.75	0.156	9.96	2.8	#B0B0B0
6	0.338	9.07	2.64	#B0B0B0
6.25	0.289	7.63	2.56	#B0B0B0
6.5	0.392	8.53	2.28	#B0B0B0
6.75	0.296	6.63	2.47	#B0B0B0
7	0.501	6.54	2.01	#6B8E23
7.25	1.144	5.22	1.5	#6B8E23
7.5	0.76	5.74	1.82	#6B8E23
7.75	0.856	5.38	1.89	#6B8E23
8	0.747	5.88	2.01	#6B8E23
8.25	1.791	5.72	2.65	#6B8E23
8.5	1.52	7.04	2.72	#6B8E23
8.75	2.893	7.34	3.28	#6B8E23
9	2.963	8.5	3.64	#6B8E23
9.25	4.08	8.58	3.77	#D4C84A
9.5	4.95	8.06	3.92	#D4C84A
9.75	3.426	7.85	4.07	#D4C84A
10	3.592	7.39	4.19	#D4C84A
10.25	6.06	9.74	3.98	#D4C84A
10.5	10.674	10.52	4.17	#D4C84A
10.75	9.567	10.53	4.47	#D4C84A
11	16.898	11.74	4.28	#E07B30
11.25	8.229	9.16	4.47	#D4C84A
11.5	18.799	11.2	4.51	#E07B30
11.75	12.966	9.86	4.75	#E07B30
12	12.162	10.63	4.64	#E07B30
12.25	26.201	12.08	4.35	#E07B30
12.5	17.613	11.63	4.32	#E07B30
12.75	33.894	11.32	4.41	#E07B30
13	19.818	11.39	4.4	#E07B30
13.25	20.259	10.63	4.02	#E07B30
13.5	19.204	9.37	3.93	#E07B30
13.75	40.497	9.65	3.76	#C03020
14	21.036	10.49	3.9	#E07B30
14.25	35.755	9.55	3.53	#C03020
14.5	28.876	9.25	4.12	#E07B30
14.75	32.835	10.98	4.49	#E07B30
15	32.462	11.09	5	#E07B30
15.25	34.467	12.19	5.29	#E07B30
15.5	29.146	13.28	5.75	#E07B30
15.75	49.057	13.73	5.85	#C03020
16	16.759	12.26	6.13	#E07B30
16.25	38.895	14.72	6.46	#C03020
16.5	28.179	13.79	6.6	#E07B30
16.75	26.613	15.01	7.04	#E07B30
17	25.258	14.03	7	#E07B30
17.25	26.308	15.11	6.77	#E07B30
