Depth	Signal	EC.Value	HP.PresDown	color
0.25	2.809	10.2	2.49	#6B8E23
0.5	1.959	9.58	2.83	#6B8E23
0.75	0.234	9.16	2.73	#B0B0B0
1	0.109	10.03	2.57	#B0B0B0
1.25	0.011	10.69	2.97	#B0B0B0
1.5	0.251	9.44	2.9	#B0B0B0
1.75	0.151	10.42	2.77	#B0B0B0
2	0.013	9.78	2.81	#B0B0B0
2.25	0.07	9.22	2.87	#B0B0B0
2.5	0.078	10.5	2.79	#B0B0B0
2.75	0.023	9.94	3.1	#B0B0B0
3	0.059	10.49	2.83	#B0B0B0
3.25	0.028	10.94	2.99	#B0B0B0
3.5	0.107	10.02	3	#B0B0B0
3.75	0.047	10.34	2.92	#B0B0B0
4	0.13	10.19	3.17	#B0B0B0
4.25	0.072	10.39	3.24	#B0B0B0
4.5	0.121	10.27	3.09	#B0B0B0
4.75	0.1	10.22	3.09	#B0B0B0
5	0.021	9.24	3.12	#B0B0B0
5.25	0.045	9.54	3.16	#B0B0B0
5.5	0.119	8.97	3.15	#B0B0B0
5.75	0.177	9.57	2.99	#B0B0B0
6	0.132	8.79	2.85	#B0B0B0
6.25	0.143	9.47	2.98	#B0B0B0
6.5	0.169	9.25	2.74	#B0B0B0
6.75	0.483	7.08	2.54	#B0B0B0
7	0.289	7.85	2.16	#B0B0B0
7.25	0.304	6.2	2.12	#B0B0B0
7.5	0.128	5.7	1.78	#B0B0B0
7.75	0.328	4.37	1.79	#B0B0B0
8	0.387	5.92	1.74	#B0B0B0
8.25	0.874	4.64	2.36	#6B8E23
8.5	0.694	5.21	2.53	#6B8E23
8.75	0.292	6.03	2.95	#B0B0B0
9	0.772	7.78	3.33	#6B8E23
9.25	1.276	7.1	3.75	#6B8E23
9.5	0.977	7.49	3.79	#6B8E23
9.75	1.909	7.63	4.09	#6B8E23
10	1.58	8.15	4.11	#6B8E23
10.25	2.044	8.3	4.3	#6B8E23
10.5	2.576	7.8	4.37	#6B8E23
10.75	1.853	8.07	4.41	#6B8E23
11	3.418	8.81	4.43	#D4C84A
11.25	5.517	9.04	4.64	#D4C84A
11.5	4.9	9.52	4.67	#D4C84A
11.75	5.183	8.01	4.42	#D4C84A
12	7.196	9.94	4.47	#D4C84A
12.25	5.637	9.19	4.68	#D4C84A
12.5	6.207	9.03	4.68	#D4C84A
12.75	5.226	8.85	4.67	#D4C84A
13	9.977	9.83	4.62	#D4C84A
13.25	5.08	8.21	4.16	#D4C84A
13.5	7.949	7.83	4.26	#D4C84A
13.75	6.648	7.05	3.85	#D4C84A
14	9.791	7.48	3.5	#D4C84A
14.25	8.136	7.94	3.83	#D4C84A
14.5	10.556	8.28	4.18	#D4C84A
14.75	6.201	7.45	4.04	#D4C84A
15	6.488	9.37	4.73	#D4C84A
15.25	9.929	9.35	4.99	#D4C84A
15.5	8.428	9.99	5.54	#D4C84A
15.75	12.387	12.6	5.58	#E07B30
16	7.034	11.71	5.91	#D4C84A
16.25	6.612	11.07	6.45	#D4C84A
16.5	4.318	11.47	6.51	#D4C84A
16.75	7.504	12.35	6.6	#D4C84A
17	4.689	10.75	6.88	#D4C84A
17.25	4.331	10.26	7.18	#D4C84A
17.5	8.588	12.46	7.04	#D4C84A
17.75	5.345	10.52	7.37	#D4C84A
18	6.009	11.97	7.77	#D4C84A
18.25	3.613	11.16	7.62	#D4C84A
18.5	2.009	10.13	8.1	#6B8E23
18.75	2.963	11.3	7.94	#6B8E23
19	1.904	10.54	8.08	#6B8E23
19.25	2.157	8.96	7.81	#6B8E23
19.5	1.714	9.52	7.99	#6B8E23
19.75	1.47	8.25	7.78	#6B8E23
20	1.158	6.82	7.75	#6B8E23
20.25	1.317	6	7.59	#6B8E23
20.5	1.131	5.05	7.41	#6B8E23
20.75	1.028	5.6	7.58	#6B8E23
21	0.638	4.69	7.65	#6B8E23
21.25	0.466	6.83	8.03	#B0B0B0
21.5	0.605	7.01	8.76	#6B8E23
21.75	0.338	6.27	8.9	#B0B0B0
22	0.22	6.64	9.41	#B0B0B0
22.25	0.261	7.1	9.8	#B0B0B0
22.5	0.133	8.11	10.2	#B0B0B0
22.75	0.208	8.95	9.96	#B0B0B0
23	0.28	8.71	10.51	#B0B0B0
23.25	0.219	7.7	10.47	#B0B0B0
23.5	0.225	8.25	10.37	#B0B0B0
23.75	0.087	7.74	11	#B0B0B0
24	0.064	8.01	10.7	#B0B0B0
24.25	0.083	8.06	10.91	#B0B0B0
24.5	0.514	8.21	11.3	#6B8E23
24.75	0.101	7.32	11.12	#B0B0B0
25	0.098	7.21	11.47	#B0B0B0
25.25	0.294	7.35	11.58	#B0B0B0
25.5	0.211	9.31	11.29	#B0B0B0
25.75	0.068	8.6	11.62	#B0B0B0
26	0.014	8.47	11.67	#B0B0B0
26.25	0.205	8.7	11.59	#B0B0B0
26.5	0.024	8.28	11.52	#B0B0B0
26.75	0.104	8.54	11.8	#B0B0B0
27	0.226	9.02	11.91	#B0B0B0
27.25	0.16	8.61	12.07	#B0B0B0
27.5	0.238	8.55	12.07	#B0B0B0
27.75	0.21	9.12	11.99	#B0B0B0
28	0.034	9.58	12.17	#B0B0B0
28.25	0.106	9.89	12.32	#B0B0B0
28.5	0.151	9.19	12.25	#B0B0B0
28.75	0.091	9.81	12.22	#B0B0B0
29	0.072	10.55	12.28	#B0B0B0
29.25	0.054	9.41	12.51	#B0B0B0
29.5	0.002	10.45	12.44	#B0B0B0
29.75	0.075	9.7	12.5	#B0B0B0
