Depth	Signal	EC.Value	HP.PresDown	color
0.25	2.506	8.87	2.79	#6B8E23
0.5	0.206	9.31	2.41	#B0B0B0
0.75	2.146	9.75	2.59	#6B8E23
1	0.095	9.4	2.83	#B0B0B0
1.25	0.208	10.38	2.97	#B0B0B0
1.5	0.098	9.38	2.68	#B0B0B0
1.75	0.213	10.07	2.72	#B0B0B0
2	0.148	9.48	3.08	#B0B0B0
2.25	0.05	10.04	2.86	#B0B0B0
2.5	0.003	9.46	3.01	#B0B0B0
2.75	0.131	10.03	2.84	#B0B0B0
3	0.311	10.03	2.81	#B0B0B0
3.25	0.06	9.77	2.93	#B0B0B0
3.5	0.104	10.3	2.8	#B0B0B0
3.75	0.207	9.62	3.03	#B0B0B0
4	0.063	10.23	3.2	#B0B0B0
4.25	0.057	10.5	3.09	#B0B0B0
4.5	0.048	9.48	2.96	#B0B0B0
4.75	0.188	10.5	2.95	#B0B0B0
5	0.051	9.74	3.18	#B0B0B0
5.25	0.003	9.64	3.32	#B0B0B0
5.5	0.067	9.37	2.94	#B0B0B0
5.75	0.112	9.47	2.75	#B0B0B0
6	0.143	8.1	2.94	#B0B0B0
6.25	0.116	7.68	2.59	#B0B0B0
6.5	0.068	7.86	2.34	#B0B0B0
6.75	0.001	7.48	2.24	#B0B0B0
7	0.159	6.26	2.19	#B0B0B0
7.25	0.034	5.61	1.92	#B0B0B0
7.5	0.185	5.52	1.58	#B0B0B0
7.75	0.101	4.93	1.77	#B0B0B0
8	0.269	5.58	2.32	#B0B0B0
8.25	0.077	5.63	2.31	#B0B0B0
8.5	0.163	6.5	2.86	#B0B0B0
8.75	0.164	6.64	3.31	#B0B0B0
9	0.124	6.81	3.62	#B0B0B0
9.25	0.109	8.04	3.72	#B0B0B0
9.5	0.046	7.19	3.82	#B0B0B0
9.75	0.093	8.42	4.12	#B0B0B0
10	0.211	7.83	3.93	#B0B0B0
10.25	0.098	8.6	4.1	#B0B0B0
10.5	0.126	8.2	4.18	#B0B0B0
10.75	0.198	7.44	4.15	#B0B0B0
11	0.134	8.52	4.32	#B0B0B0
11.25	0.111	7.42	4.19	#B0B0B0
11.5	0.194	7.46	4.56	#B0B0B0
11.75	0.271	8.24	4.56	#B0B0B0
12	0.2	7.28	4.8	#B0B0B0
12.25	0.13	7.35	4.8	#B0B0B0
12.5	0.293	8.69	4.65	#B0B0B0
12.75	0.137	8.19	4.52	#B0B0B0
13	0.093	6.03	4.21	#B0B0B0
13.25	0.198	6.51	4.05	#B0B0B0
13.5	0.128	6.1	3.85	#B0B0B0
13.75	0.357	6.05	4.13	#B0B0B0
14	0.093	5.34	3.64	#B0B0B0
14.25	0.15	5.85	3.92	#B0B0B0
14.5	0.282	5.79	4.23	#B0B0B0
14.75	0.326	7.21	4.36	#B0B0B0
15	0.085	7.55	4.66	#B0B0B0
15.25	0.187	9.04	5.27	#B0B0B0
15.5	0.16	8.7	5.66	#B0B0B0
15.75	0.153	10.09	5.91	#B0B0B0
16	0.071	9.93	6.36	#B0B0B0
16.25	0.208	10.71	6.34	#B0B0B0
16.5	0.268	10.56	6.65	#B0B0B0
16.75	0.117	10.24	6.92	#B0B0B0
17	0.343	10.37	6.98	#B0B0B0
17.25	0.238	9.68	6.92	#B0B0B0
17.5	0.228	10	7.18	#B0B0B0
17.75	0.367	10.86	7.36	#B0B0B0
18	0.273	10.41	7.67	#B0B0B0
18.25	0.087	9.84	7.77	#B0B0B0
18.5	0.192	9.21	7.92	#B0B0B0
18.75	0.133	9.83	7.85	#B0B0B0
19	0.059	8.88	7.87	#B0B0B0
19.25	0.289	10.33	8.07	#B0B0B0
19.5	0.237	8.41	7.74	#B0B0B0
