Depth	Signal	EC.Value	HP.PresDown	color
0.25	2.604	10.18	2.93	#6B8E23
0.5	2.503	9.46	2.54	#6B8E23
0.75	3.122	10.06	2.64	#D4C84A
1	0.022	9.61	2.8	#B0B0B0
1.25	0.352	9.39	2.59	#B0B0B0
1.5	0.082	8.69	2.62	#B0B0B0
1.75	0.007	10.52	2.6	#B0B0B0
2	0.017	10.08	2.93	#B0B0B0
2.25	0.064	9.99	2.85	#B0B0B0
2.5	0.204	10.14	3.07	#B0B0B0
2.75	0.112	10.06	2.97	#B0B0B0
3	0.269	10.23	3.15	#B0B0B0
3.25	0.026	9.76	3.22	#B0B0B0
3.5	0.083	10.94	3.07	#B0B0B0
3.75	0.093	10.53	3.1	#B0B0B0
4	0.048	10.01	3.18	#B0B0B0
4.25	0.324	9.63	3.26	#B0B0B0
4.5	0.28	10.06	3	#B0B0B0
4.75	0.18	9.68	3.3	#B0B0B0
5	0.275	9.35	3.03	#B0B0B0
5.25	0.229	10.01	3.06	#B0B0B0
5.5	0.144	10.46	3.16	#B0B0B0
5.75	0.121	8.25	3.3	#B0B0B0
6	0.262	10.1	3.01	#B0B0B0
6.25	0.206	9.5	2.93	#B0B0B0
6.5	0.306	8.24	3.26	#B0B0B0
6.75	0.3	8.47	3.04	#B0B0B0
7	0.486	7.63	3.06	#B0B0B0
7.25	0.674	7.2	2.61	#6B8E23
7.5	0.705	6.55	2.57	#6B8E23
7.75	0.816	5.78	2.26	#6B8E23
8	0.678	4.9	2.15	#6B8E23
8.25	1.562	5.68	1.88	#6B8E23
8.5	1.829	5.22	1.96	#6B8E23
8.75	2.548	5.4	2.22	#6B8E23
9	3.283	6.42	2.75	#D4C84A
9.25	5.333	7.1	3.15	#D4C84A
9.5	5.597	8.4	3.4	#D4C84A
9.75	10.591	9.33	3.78	#D4C84A
10	7.636	8.92	4.02	#D4C84A
10.25	7.063	9.46	4.11	#D4C84A
10.5	15.818	10.58	4.28	#E07B30
10.75	14.295	9.85	4.09	#E07B30
11	12.027	10.85	4.31	#E07B30
11.25	20.019	10.97	4.55	#E07B30
11.5	15.486	11.93	4.56	#E07B30
11.75	26.819	11.76	4.73	#E07B30
12	39.352	11.91	4.77	#C03020
12.25	34.785	12.39	4.51	#E07B30
12.5	26.844	11.66	4.62	#E07B30
12.75	76.548	12.27	4.85	#7B0010
13	53.511	12.92	4.81	#C03020
13.25	43.203	10.76	4.88	#C03020
13.5	37.139	11.09	4.71	#C03020
13.75	57.151	12.2	4.65	#C03020
14	70.188	10.83	4.44	#7B0010
14.25	76.437	10.58	4.11	#7B0010
14.5	80.498	10.25	4.01	#7B0010
14.75	84.897	9.33	3.94	#7B0010
15	73.023	9.6	4.18	#7B0010
15.25	73.96	11.72	4.6	#7B0010
15.5	48.851	11.11	5.26	#C03020
15.75	78.068	12.8	5.43	#7B0010
16	72.087	12.59	5.59	#7B0010
16.25	70.6	13.65	6.2	#7B0010
16.5	54.373	13.6	6.43	#C03020
16.75	88.607	14.74	6.79	#7B0010
17	57.938	14.65	6.85	#C03020
17.25	51.488	14.5	6.94	#C03020
17.5	44.565	13.68	6.88	#C03020
17.75	53.031	15.03	7.43	#C03020
18	35.212	14.33	7.47	#C03020
18.25	71.529	13.44	7.75	#7B0010
18.5	33.173	13.82	8.03	#E07B30
18.75	29.828	13.6	7.86	#E07B30
19	30.165	13.84	8.01	#E07B30
19.25	29.072	13.19	8.21	#E07B30
19.5	24.871	13.33	8.33	#E07B30
19.75	30.89	13.07	8.56	#E07B30
20	25.325	12.07	8.28	#E07B30
20.25	17.924	11.6	8.26	#E07B30
20.5	15.704	9.87	7.78	#E07B30
20.75	12.604	9.29	7.87	#E07B30
21	6.285	6.44	7.83	#D4C84A
21.25	9.926	7.35	7.89	#D4C84A
21.5	7.355	6.39	8.17	#D4C84A
21.75	5.033	6.11	8.45	#D4C84A
22	3.615	6.18	9.17	#D4C84A
22.25	3.315	6.78	9.32	#D4C84A
22.5	3.512	7.6	9.63	#D4C84A
22.75	1.821	7.51	9.85	#6B8E23
23	3.939	8.29	10.26	#D4C84A
23.25	1.539	8.6	10.22	#6B8E23
23.5	1.098	8.87	10.75	#6B8E23
23.75	0.677	7.51	10.71	#6B8E23
24	0.813	7.85	10.76	#6B8E23
24.25	0.904	7.66	10.98	#6B8E23
24.5	0.563	7.82	11.29	#6B8E23
24.75	0.203	6.92	11.09	#B0B0B0
25	0.252	7.71	11.14	#B0B0B0
25.25	0.215	7.21	11.38	#B0B0B0
25.5	0.143	8.93	11.4	#B0B0B0
25.75	0.14	7.26	11.47	#B0B0B0
26	0.143	8.21	11.42	#B0B0B0
26.25	0.075	7.84	11.54	#B0B0B0
26.5	0.107	8.24	11.92	#B0B0B0
26.75	0.046	8.13	11.88	#B0B0B0
27	0.116	8.85	11.79	#B0B0B0
27.25	0.067	9.17	11.94	#B0B0B0
27.5	0.178	8.25	11.95	#B0B0B0
27.75	0.194	8.6	11.92	#B0B0B0
28	0.036	9.49	12.26	#B0B0B0
28.25	0.065	9.27	12.29	#B0B0B0
28.5	0.011	9.76	12.24	#B0B0B0
28.75	0.193	10.98	12.09	#B0B0B0
29	0.146	9.38	12.11	#B0B0B0
